Starting Inheritance SGA Optimization
Feature count range: 30 -> 10

=== Current Feature Count: 30 ===
  Gen 700 | Best MCC: 0.6882
  Gen 710 | Best MCC: 0.6882
  Gen 720 | Best MCC: 0.6882
  Gen 730 | Best MCC: 0.6882
  Gen 740 | Best MCC: 0.6882
  Gen 750 | Best MCC: 0.6882
  Gen 760 | Best MCC: 0.6882
  Gen 770 | Best MCC: 0.6882
  Gen 780 | Best MCC: 0.6882
  Gen 790 | Best MCC: 0.6882
  Gen 800 | Best MCC: 0.6882
  Gen 810 | Best MCC: 0.6882
  Gen 820 | Best MCC: 0.6882
  Gen 830 | Best MCC: 0.6882
  Gen 840 | Best MCC: 0.6882
  Gen 850 | Best MCC: 0.6882
  Gen 860 | Best MCC: 0.6882
  Gen 870 | Best MCC: 0.6882
  Gen 880 | Best MCC: 0.6882
  Gen 890 | Best MCC: 0.6882
  Gen 900 | Best MCC: 0.6882
  Gen 910 | Best MCC: 0.6882
  Gen 920 | Best MCC: 0.6882
  Gen 930 | Best MCC: 0.6882
  Gen 940 | Best MCC: 0.6882
  Gen 950 | Best MCC: 0.6882
  Gen 960 | Best MCC: 0.6882
  Gen 970 | Best MCC: 0.6882
  Gen 980 | Best MCC: 0.6882
  Gen 990 | Best MCC: 0.6882
  Gen 1000 | Best MCC: 0.6882

=== Current Feature Count: 24 ===
  Gen 10 | Best MCC: 0.6594
  Gen 20 | Best MCC: 0.6594
  Gen 30 | Best MCC: 0.6665
  Gen 40 | Best MCC: 0.6665
  Gen 50 | Best MCC: 0.6665
  Gen 60 | Best MCC: 0.6665
  Gen 70 | Best MCC: 0.6665
  Gen 80 | Best MCC: 0.6665
  Gen 90 | Best MCC: 0.6665
  Gen 100 | Best MCC: 0.6665
  Gen 110 | Best MCC: 0.6665
  Gen 120 | Best MCC: 0.6665
  Gen 130 | Best MCC: 0.6665
  Gen 140 | Best MCC: 0.6665
  Gen 150 | Best MCC: 0.6665
  Gen 160 | Best MCC: 0.6665
  Gen 170 | Best MCC: 0.6665
  Gen 180 | Best MCC: 0.6665
  Gen 190 | Best MCC: 0.6665
  Gen 200 | Best MCC: 0.6665
  Gen 210 | Best MCC: 0.6665
  Gen 220 | Best MCC: 0.6665
  Gen 230 | Best MCC: 0.6665
  Gen 240 | Best MCC: 0.6665
  Gen 250 | Best MCC: 0.6665
  Gen 260 | Best MCC: 0.6665
  Gen 270 | Best MCC: 0.6665
  Gen 280 | Best MCC: 0.6665
  Gen 290 | Best MCC: 0.6665
  Gen 300 | Best MCC: 0.6665
  Gen 310 | Best MCC: 0.6665
  Gen 320 | Best MCC: 0.6665
  Gen 330 | Best MCC: 0.6687
  Gen 340 | Best MCC: 0.6843
  Gen 350 | Best MCC: 0.6843
  Gen 360 | Best MCC: 0.6843
  Gen 370 | Best MCC: 0.6843
  Gen 380 | Best MCC: 0.6843
  Gen 390 | Best MCC: 0.6843
  Gen 400 | Best MCC: 0.6843
  Gen 410 | Best MCC: 0.6843
  Gen 420 | Best MCC: 0.6843
  Gen 430 | Best MCC: 0.6843
  Gen 440 | Best MCC: 0.6843
  Gen 450 | Best MCC: 0.6843
  Gen 460 | Best MCC: 0.6843
  Gen 470 | Best MCC: 0.6843
  Gen 480 | Best MCC: 0.6843
  Gen 490 | Best MCC: 0.6843
  Gen 500 | Best MCC: 0.6843
  Gen 510 | Best MCC: 0.6843
  Gen 520 | Best MCC: 0.6843
  Gen 530 | Best MCC: 0.6843
  Gen 540 | Best MCC: 0.6843
  Gen 550 | Best MCC: 0.6843
  Gen 560 | Best MCC: 0.6843
  Gen 570 | Best MCC: 0.6843
  Gen 580 | Best MCC: 0.6843
  Gen 590 | Best MCC: 0.6843
  Gen 600 | Best MCC: 0.6843
  Gen 610 | Best MCC: 0.6843
  Gen 620 | Best MCC: 0.6843
  Gen 630 | Best MCC: 0.6843
  Gen 640 | Best MCC: 0.6843
  Gen 650 | Best MCC: 0.6843
  Gen 660 | Best MCC: 0.6843
  Gen 670 | Best MCC: 0.6843
  Gen 680 | Best MCC: 0.6843
  Gen 690 | Best MCC: 0.6843
  Gen 700 | Best MCC: 0.6843
  Gen 710 | Best MCC: 0.6843
  Gen 720 | Best MCC: 0.6843
  Gen 730 | Best MCC: 0.6843
  Gen 740 | Best MCC: 0.6843
  Gen 750 | Best MCC: 0.6843
  Gen 760 | Best MCC: 0.6843
  Gen 770 | Best MCC: 0.6843
  Gen 780 | Best MCC: 0.6843
