logFC,AveExpr,t,P.Value,adj.P.Val,B
X604_.hsa.mir.378c,1.12970945611573,4.49295492317788,8.19736894935401,3.04381047488464e-15,1.08608691944747e-14,23.3617663972542
X613_.hsa.mir.379,-2.63566604460635,4.74854141205288,-8.13217125986888,4.8494327731511e-15,1.71735551590539e-14,22.9024328277282
X193_.hsa.mir.1468,1.23546962510871,4.03004468559856,8.04901342308273,8.75072947832635e-15,3.07581610768038e-14,22.3204380330911
X150_.hsa.mir.1301,-1.15288961337853,4.64935916492308,-8.01170384673092,1.13882724218661e-14,3.97324171162885e-14,22.0607410842254
X123_.hsa.mir.128.1,1.16702785339621,8.15856160745673,7.98907854749078,1.33554365610676e-14,4.62530192666387e-14,21.9036864206215
X10_.hsa.let.7g,-0.697295522245408,10.8789628185793,-7.96559122654944,1.5752468771147e-14,5.41562977460602e-14,21.7409932515506
X1212_.hsa.mir.532,-1.32505653540514,9.93623717611538,-7.94196116512758,1.85919162599462e-14,6.34550185393817e-14,21.5776671912985
X1038_.hsa.mir.4755,-0.605960668876618,0.877614540336538,-7.90567106312068,2.39643733129946e-14,8.12030203627373e-14,21.3275347186527
X1701_.hsa.mir.6874,-0.586010226184254,0.759513051581731,-7.80960808695227,4.67358374702961e-14,1.57232710346496e-13,20.6695125789894
X312_.hsa.mir.2277,-0.898762009408785,1.73250238377885,-7.77715570632772,5.84890582373979e-14,1.95378343473861e-13,20.4485698662054
X1470_.hsa.mir.636,-0.649526962967833,0.741784813175481,-7.75434665502364,6.84502715553745e-14,2.27042802130855e-13,20.2936921494247
X910_.hsa.mir.4632,-0.798592313814652,0.856447346677885,-7.70507251511277,9.60355255129045e-14,3.16312814801245e-13,19.9602745304788
X473_.hsa.mir.320b.2,1.11566348839521,2.76167315165144,7.67882242259849,1.14947262364627e-13,3.75973337317634e-13,19.783302516097
X1215_.hsa.mir.542,-2.41435830699726,7.45182101806731,-7.67765898383719,1.15865517511081e-13,3.76363163777372e-13,19.7754693918909
X1133_.hsa.mir.508,-1.25422572521733,1.31820541801683,-7.54212836369205,2.91005612661598e-13,9.38792079202825e-13,18.869117802916
X1436_.hsa.mir.6125,-0.585902405798524,0.691009608002404,-7.52545846387209,3.25638830590265e-13,1.03902386297615e-12,18.7584844820214
